code,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
2096,112.05,37085.19,37128.69,413237.22,221714.22,89793.67,64814.6,1.75,0.115,5.85,2.94,20061222
601311,37.69,84839.57,84839.57,664864.38,342280.5,194948.75,103298.8,1.22,0.382,5.49,3.5,20110602
300381,149.17,9132.67,40675.53,313045.59,142197.63,84292.96,131581.77,3.23,0.163,4.59,7.07,20140128
783,28.75,474239.22,552946.75,8833761,0,30376.94,1046600.5,1.89,0.35,4.55,2.66,19970731
600291,453.1,38400,109306.43,29553852,0,51110.44,595240.31,5.45,0.035,10.3,2.07,20000731
600999,24.43,471398.53,669942.25,23563442,0,43902.46,1940387.75,2.9,0.69,8.46,2.29,20091117
600206,250.22,70783.31,83877.84,325410.78,272417.13,32083.25,140522.75,1.68,0.035,3.33,3.48,19990319
603030,148.97,6435.52,17736.1,416329.19,360077.94,43574.64,81351.06,4.59,0.19,7.66,4.39,20150320
300338,652.08,16835.38,25200,93702.3,56484.7,25982.1,28627.89,1.14,0.027,3,7.93,20120726
831,0,98088.13,98088.89,218938.92,188506.91,13786.92,75535.68,0.77,-0.044,2.09,6.14,19980911
906,44.79,33060.57,39293.26,816769.38,703255.81,50698.46,85941.36,2.19,0.244,4.24,3.44,19990707
166,26.34,719930.25,2005660.63,25134012,0,125284.42,444494.59,0.22,0.192,2.52,2.67,20150126
600369,30.61,464510.91,564510.94,7624209.5,0,30880.78,785206.81,1.39,0.187,3.36,2.27,20010109
300138,49.69,16984.65,26211.02,200171.5,130325.27,47521.23,91832.49,3.5,0.303,5.76,3.49,20101105
600191,337.23,48493.19,48493.19,250434,27569.85,11458.1,63235.65,1.3,0.033,4.44,3.33,19981210
600010,307.22,1574202.38,3256073.75,14101466,3300623,5275052.5,1442332.5,0.44,0.007,1.45,2.04,20010309
600615,365.47,18762.44,18802.05,63719.42,56968.38,4011.48,43600.46,2.32,0.044,2.58,8.29,19920910
59,9.4,139997.09,159944.25,3160463.25,1106013.5,1433817.88,620242.94,3.88,0.734,6.29,1.46,19970130
